code,name,level,parent_code,path,revision,source_url,is_active
412,音声情報制作業,small,41,G/41/412,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/412,1
4121,レコード制作業,detail,412,G/41/412/4121,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4121,1
4122,ラジオ番組制作業,detail,412,G/41/412/4122,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4122,1
413,新聞業,small,41,G/41/413,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/413,1
4131,新聞業,detail,413,G/41/413/4131,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4131,1
414,出版業,small,41,G/41/414,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/414,1
4141,出版業,detail,414,G/41/414/4141,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4141,1
415,広告制作業,small,41,G/41/415,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/415,1
4151,広告制作業,detail,415,G/41/415/4151,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4151,1
416,映像・音声・文字情報制作に附帯するサービス業,small,41,G/41/416,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/416,1
4161,ニュース供給業,detail,416,G/41/416/4161,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4161,1
4169,その他の映像・音声・文字情報制作に附帯するサービス業,detail,416,G/41/416/4169,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4169,1
